City,State,Adopt,Repeal,Slate,Source
Ashtabula,OH,1915,1929,None,"Holcomb (1929: 10), Harris (1930)"
Boulder,CO,1917,1947,None,"Holcomb (1929: 11), Harris (1930)"
Kalamazoo,MI,1918,1920,None,"Holcomb (1929: 11), Harris (1930)"
Sacramento,CA,1920,1922,None,"Holcomb (1929: 11), Harris (1930)"
West Hartford,CT,1921,1923,None,"Holcomb (1929: 12), Harris (1930)"
Cleveland,OH,1921,1931,Progressive Government Association (final election only),"Holcomb (1929: 12), Harris (1930)"
Cincinnati,OH,1924,1957,Charter Committee,Harris (1930)
Hamilton,OH,1926,1961,Charter Commission,"Harris (1930), p. 27"
Toledo,OH,1935,1949,City Manager League,Anderson (1995)
Wheeling,WV,1935,1950,Wheeling Association,Hallett (1937b)
New York,NY,1936,1947,Citizens’ Non-partisan League,Official returns
Norris,TN,1936,1948,None,Stephenson (1938)
Yonkers,NY,1940,1948,City Manager League,Hallett (1941)
Cambridge,MA,1940,NA,Cambridge Civic Association,Weaver (1982)
Lowell,MA,1943,1957,None,"Dobrusin (1955: 362), Hallett (1944b: 48)"
Long Beach,NY,1943,1947,Citizens’ Non-partisan Committee,Hallett (1945b)
Coos Bay,OR,1944,1948,None,Hallett and Woodward (1947b)
Saugus,MA,1947,1951,None,Hallett and Woodward (1948b)
Worcester,MA,1947,1960,Citizens’ Plan E Association,Binstock (1960)
Medford,MA,1947,1952,Medford Plan E Association,Dobrusin (1955: 451)
Quincy,MA,1947,1952,Quincy Civic Association,Dobrusin (1955: 477)
Revere,MA,1947,1952,Committee for Plan E,Dobrusin (1955: 427)
Hopkins,MN,1947,1959,None,Hallett and Woodward (1948)
Oak Ridge,TN,1948,1958,None,Hallett and Woodward (1950)