city,year,totvotes,exhaustfinal,exhaustpenultimate,pctexhaust,,
cincinnati,1925,124091,,2402,1.93567623759983,,
cincinnati,1927,131416,12426,3667,2.79037560114446,,
cincinnati,1929,145464,13870,5679,3.90405873618215,,
cincinnati,1931,128677,12226,6411,4.9822423587743,,
cincinnati,1933,163749,15528,3428,2.09344789891847,,
cincinnati,1935,145200,13728,4366,3.0068870523416,,
cincinnati,1937,150415,14199,7755,5.15573579762657,,
cincinnati,1939,155017,15030,5319,3.43123657405317,,
cincinnati,1941,154302,14409,4684,3.03560550090083,,
cincinnati,1943,123752,11769,2885,2.33127545413407,,
cincinnati,1945,124347,11874,2860,2.30001527982179,,
cincinnati,1947,171130,16214,6211,3.62940454625139,,
cincinnati,1949,167482,16241,4566,2.72626312081298,,
cincinnati,1951,144482,13603,4652,3.21977824227239,,
cincinnati,1953,152766,14317,3523,2.30614141890211,,
cincinnati,1955,153886,14182,5880,3.8210103583172,,
worcester,1949,76377,11361,8979,11.7561569582466,,
worcester,1951,61391,6219,4377,7.12970956654884,,
worcester,1953,59710,5673,3357,5.62217384022777,,
worcester,1955,63804,6494,3070,4.81161055733183,,
worcester,1957,61458,5896,2053,3.34049269419766,,
worcester,1959,67102,6428,3355,4.99985097314536,,