ward,repealno,repealyes,Annest,Baron,Berry,Cash,Everett,Kohnen,Locker,Lotspeich,Moelder,Molloy,Nippert,Proctor,Rich,Scherer,Simpson,Taft,Tarr,Toms,Waldvogel,Wolf,writein,invalid
1,2430,2512,6,15,49,563,323,64,354,129,72,168,119,343,586,963,158,426,72,268,312,38,0,229
2,4016,3609,7,41,322,985,522,76,526,253,85,231,260,424,1866,676,78,791,99,117,299,47,2,315
3,3912,2914,20,51,172,1281,399,133,389,175,104,254,243,405,1016,385,96,861,292,139,410,35,2,222
4,3626,3483,2,36,28,1048,290,98,238,253,58,200,295,221,1933,534,108,1187,128,247,231,47,2,184
5,3530,3100,12,58,18,950,291,124,197,344,76,220,447,265,1101,379,227,1163,134,352,233,63,2,188
6,2186,2583,11,50,43,580,414,55,209,72,49,1407,84,595,483,140,48,361,45,56,187,35,4,445
7,3015,2625,9,586,21,782,238,122,131,138,116,202,196,177,1007,430,41,784,81,141,273,160,1,195
8,2877,2365,13,30,99,753,531,36,331,113,76,728,197,474,715,186,74,502,86,107,295,34,1,396
9,4160,2985,17,144,1284,490,276,46,2110,171,54,157,215,215,739,215,63,695,226,116,208,96,0,437
10,2219,2421,15,34,39,475,695,45,263,71,120,291,130,649,775,219,58,250,51,98,458,42,0,445
11,3380,3143,11,42,22,708,851,200,165,132,358,251,325,609,1059,703,91,459,97,69,427,28,0,342
12,3685,3582,5,141,26,798,700,135,174,262,169,318,395,536,1403,658,124,777,141,147,373,46,0,306
13,5055,2246,4,2010,211,458,756,37,259,142,50,108,133,151,556,182,49,1100,64,73,141,991,0,309
14,2872,3023,4,55,15,756,196,71,170,262,62,165,253,190,1451,499,52,951,169,283,288,26,1,138
15,4173,3452,6,270,69,666,539,63,285,561,493,206,375,382,1260,572,137,1015,137,247,245,142,3,262
16,1620,2170,9,14,1354,32,119,18,3414,27,14,53,17,67,83,27,15,28,33,15,28,18,3,915
17,2537,2496,12,44,1441,224,396,33,1951,44,37,133,78,389,382,80,41,134,137,46,138,20,0,813
18,2132,2478,17,39,1436,212,378,56,1987,36,46,148,72,286,316,100,31,79,52,29,151,24,2,919
19,1808,1960,6,19,30,324,306,444,116,80,92,125,117,516,589,177,51,222,46,55,467,13,1,273
20,3692,2783,4,37,13,580,460,1154,89,68,109,284,105,651,614,330,59,252,62,58,1612,17,1,188
21,2490,2273,7,20,20,464,629,257,76,54,236,147,190,618,705,384,45,232,127,51,567,13,1,223
22,2617,2542,9,34,48,369,535,122,215,52,1399,143,141,612,676,417,39,163,47,57,196,16,1,287
23,3481,3709,8,55,30,609,350,54,190,130,1001,160,282,462,1237,890,577,669,133,175,226,18,3,224
24,3368,2244,4,29,34,463,370,25,128,130,417,99,229,411,1049,366,65,453,63,53,205,28,0,245
25,4260,3416,3,59,5,587,334,1985,95,97,116,283,153,483,744,391,51,402,41,97,1862,41,0,177
26,3777,4270,5,44,11,726,441,440,193,153,233,223,631,541,1482,851,112,800,125,297,782,20,1,221