borough,district,total.votes,absentee,war,prop4.yes,prop4.no,prop4.blank,reg.tot,reg.rep,reg.dem,reg.alp,reg.lib,reg.blank,reg.war
man,1,32506,99,12,15081,11299,6237,37205,13200,16077,3475,1379,3065,9
man,2,18689,15,2,8141,3737,6828,20652,3607,13580,1945,554,962,4
man,3,38658,50,7,19104,9273,10338,43531,9195,26707,3625,1266,2730,8
man,4,32636,36,2,9638,10031,13005,35745,2932,22517,4820,1845,3627,4
man,5,48511,134,14,19723,19284,9652,56500,10646,31448,4380,3185,6829,12
man,6,25992,45,4,9699,6584,9758,28768,4868,16100,2183,888,4725,4
man,7,29615,57,9,12897,10125,6659,33789,7280,19535,2589,1558,2822,5
man,8,29681,53,7,14640,6910,8191,33620,10161,18935,1983,665,1866,10
man,9,29856,77,9,15149,9442,5351,35017,16072,13199,1229,1099,3410,8
man,10,30664,28,9,13821,6365,10515,34126,7508,20795,3624,597,1595,7
man,11,16203,16,5,3308,3794,9122,19737,4457,11243,2060,692,1280,5
man,12,31558,62,9,8564,7311,15754,37659,7633,23440,2893,1228,2458,7
man,13,24779,37,10,8562,6805,9459,29459,5533,18291,2751,1088,1787,9
man,14,14078,11,4,2818,3722,7553,16539,2395,8851,3814,532,943,4
man,15,53297,73,24,24233,17154,12637,60170,9833,38674,4808,3007,4370,18
man,16,21484,10,2,7676,4128,9692,23597,4205,13358,4654,449,928,3
brx,1,26641,32,4,10829,8425,7423,29598,3559,19940,2623,1527,1949,5
brx,2,33454,44,9,10006,15122,8379,37154,2875,22528,5317,3493,2941,12
brx,3,33454,38,7,11832,13853,7477,37060,3581,23399,4452,2839,2789,11
brx,4,20726,6,5,10154,3718,6865,22730,4404,15139,1531,568,1088,8
brx,5,24430,20,1,7304,8963,8184,26833,2042,17235,4229,1834,1493,2
brx,6,29769,36,5,7542,13764,8504,33029,2135,19754,6074,3098,1968,9
brx,7,33056,35,5,8375,12770,11951,37144,3561,21771,6813,2821,2178,9
brx,8,43971,46,0,12540,17341,12146,46360,4192,26961,8068,3990,3149,12
brx,9,30743,32,9,22747,7039,7303,40882,9939,26481,1572,807,2083,12
brx,10,34172,24,7,16320,10007,7876,37646,6390,23466,3843,1750,2197,11
brx,11,26.320,33,7,15780,4705,5875,29158,7397,18402,991,632,1736,8
brx,12,47433,74,10,21313,15660,10544,52655,7271,34176,4697,2914,3597,11
brx,13,52171,88,9,24246,18848,9166,58175,9669,35221,5590,3269,4426,11
brk,1,32468,48,2,15172,10710,6636,36679,7605,21382,3801,2049,1838,4
brk,2,47322,68,12,17084,20450,9868,54350,5614,35081,6758,3605,3278,14
brk,3,18763,26,8,10128,2361,6308,20617,4206,14511,1000,257,633,10
brk,4,25033,24,6,9698,6387,8978,28089,4086,19301,2398,1028,1268,8
brk,5,22607,14,4,10081,3668,8876,24906,6393,15864,1040,510,1094,5
brk,6,28943,40,10,9503,7903,9587,29575,7233,15736,3633,1229,1914,12
brk,7,23919,35,1,12158,5081,6716,26810,6415,16574,1701,966,1149,5
brk,8,19282,19,8,10241,2203,6865,21139,4005,15822,587,198,517,10
brk,9,39454,43,21,26914,5090,7514,44278,13093,27774,825,547,2014,25
brk,10,26740,57,11,14483,5656,6669,30388,8732,18118,1383,580,1561,14
brk,11,29842,39,6,11292,11415,7180,33970,5325,20181,4148,1852,2455,9
brk,12,30624,61,3,15446,8845,6397,34260,6489,21930,2439,1447,1947,8
brk,13,45992,49,10,19526,15665,10860,52587,7682,32954,5984,3410,2544,13
brk,14,22069,11,7,7423,5582,9082,24950,3465,16831,2589,1271,784,10
brk,15,21744,16,13,10541,2589,8643,24025,4025,18169,1010,328,480,13
brk,16,41483,32,7,13091,15107,13024,46607,4694,28859,6687,4001,2355,11
brk,17,22537,19,6,7392,6750,8420,25488,5766,14258,2791,1060,1603,10
brk,18,30595,36,5,12020,11396,7220,34851,4351,23385,3423,1983,1700,9
brk,19,42674,65,4,13034,17010,12699,49229,4494,32506,5728,3842,2650,9
brk,20,21316,13,8,9975,2751,8611,24020,5779,15976,980,473,804,8
brk,21,32227,51,11,15113,11981,5195,37143,7828,21587,3336,1906,2470,16
brk,22,27753,23,7,13530,6340,7413,30466,6126,19679,2194,1185,1272,10
brk,23,42792,45,4,8621,18947,15273,47973,3501,27275,9865,5048,2277,7
brk,24,28607,26,6,5645,13455,9539,31941,2069,18851,6998,2792,1220,11
que,1,30275,30,7,13426,6369,10507,33063,7145,22906,1261,433,1253,11
que,2,33786,37,10,16073,6925,10835,36856,8020,24407,2130,547,1736,16
que,3,33709,31,11,14472,8117,11162,36173,9559,24234,716,214,1436,14
que,4,36031,39,9,17011,8597,10471,40141,10063,26111,1644,625,1687,11
que,5,32268,44,10,15000,7611,9711,36270,9514,22784,1458,756,1743,15
que,6,37636,55,13,18613,9214,9877,42119,11306,25904,1742,952,2202,13
que,7,40959,92,16,21128,10164,9775,45781,17010,23398,1431,1021,2903,18
que,8,39906,62,10,20467,10712,8799,44965,14764,25422,1325,774,2666,14
que,9,33139,51,16,16606,9363,7237,36930,13761,20344,561,344,1901,19
que,10,29372,36,15,13335,7267,8821,32193,10340,19708,534,347,1245,19
que,11,28080,33,17,12753,6147,9230,31432,8934,19513,1087,536,1345,17
que,12,32945,43,12,16243,7164,9593,37542,8701,25191,1245,821,1566,18
sta,1,28162,61,2,10655,4900,12670,30661,8260,20725,389,143,1141,3
sta,2,26399,44,2,10323,4751,11371,28900,8775,18644,311,163,999,8